filename,score
v5ja8w93dv9g1.jpeg,8
0jmjtzn1c5dg1.jpeg,8
km9drlc480cg1.jpeg,7
ibwkb131xheg1.jpeg,5
j4u8k8go0ieg1.jpeg,7
eydxkzmvlheg1.png,6
vtcp47tlaieg1.png,8
0j7q3qedvk9g1.jpeg,9
ddqfk3c4xdeg1.jpeg,5
w77i56adu1eg1.jpeg,9
h404mplrhieg1.jpeg,10
7l3qbl3ne9cg1.jpeg,8
gsrlm85v1deg1.jpeg,5
6vfd9mkawheg1.jpeg,10
ystmlwtafbeg1.png,8
kwr2okcqu9dg1.png,3
ai1f1qfpfu8g1.jpeg,10
04dwci0y5ieg1.jpeg,9
xl5d8qathgeg1.png,4
vd7k9h9fk7eg1.png,3
f5xo2p3gn5eg1.png,6
yn3f63wh2ydg1.jpeg,8
sojy36xdx5eg1.jpeg,9
j9dmsezqraeg1.jpeg,9
6xupkdw3qcbg1.jpeg,10
p37qqji2vheg1.png,10
hwd2umshuheg1.jpeg,6
dx3bnl71akdg1.jpeg,10
3or6jsz5pk9g1.jpeg,8
9z07c4bahqdg1.jpeg,7
mvb8ppc0y3cg1.jpeg,3
u9eijojb1rdg1.jpeg,4
a3jrzi087geg1.jpeg,2
r06byckmleeg1.jpeg,1
sj5c9vd1vx8g1.png,9
br1u0md0c3dg1.jpeg,8
cgq38rcm5ndg1.png,9
5chxgo0dvfeg1.jpeg,9
84vcpxc07ieg1.jpeg,7
9pdk3majd2eg1.jpeg,7
4s20uc5mp9eg1.jpeg,9
nuucqnx1s1eg1.jpg,1
vc08c6l2svdg1.jpeg,7
ru932y7agjeg1.png,8
41a7cjfdendg1.png,8
zewtvwbv2l8g1.jpeg,9
omqs6ife2jeg1.jpeg,6
vtvfmydinydg1.jpeg,6
64em9sigfieg1.jpeg,6
s2iup7851jeg1.jpeg,9
ohl6ou78uidg1.jpeg,7
okhols8r9ieg1.png,6
pkey0438rfeg1.jpeg,9
imaa9fmf8mdg1.jpeg,7
vffilehjhheg1.jpeg,10
18s2h7ydjkcg1.jpeg,9
qfww1jl16leg1.png,8
cevi0uturodg1.jpeg,7
iz9zljxaggeg1.png,9
rmz4tbz13feg1.jpeg,8
pud381t53leg1.jpeg,10
kuvhqjnxdeeg1.jpeg,4
ruc93d24zheg1.jpeg,9
mie9xb5h4t8g1.png,4
gzucl9hbykeg1.png,3
axwr8ffy3a8g1.jpeg,9
022ukn2rjw8g1.jpeg,9
k1vmelvgsieg1.jpeg,5
mwvkn79it0dg1.jpeg,3
4fbwjhmt0ceg1.jpeg,8
nprkdyrjodeg1.jpeg,6
y26p8cwo1xdg1.jpeg,9
axbv50xxhk9g1.jpeg,9
cohluuidm5ag1.jpeg,9
jjsveihrveeg1.png,10
lqfhompsk4cg1.jpeg,10
rmhg7sapwkdg1.jpeg,9
siiedhyqtfbg1.png,7
qkxvi1lvwieg1.png,9
qkxvi1lvwieg1.png,9
w2dl1bey1beg1.jpeg,5
xee5p49htx9g1.jpeg,8
1f1z91u5ymag1.jpeg,9
cim9ts2ztf9g1.jpeg,6
uil6t37grceg1.jpeg,2
8cuham84pbeg1.jpeg,5
riyhw1kukbeg1.png,9
himq1850agdg1.png,7
1v7p04ojtjeg1.jpeg,8
1tvdc3jptkeg1.png,9
pinrsnr6mjeg1.jpeg,9
l7zcb9m6jjeg1.jpeg,7
8odxdh301keg1.jpeg,10
kzasfvqhgieg1.jpeg,10
1j856tctijeg1.jpeg,9
giv74ob5pjeg1.png,8
4pyewdiybjeg1.jpeg,8
20hrrk038leg1.png,8
51w9z7e4ejeg1.jpeg,10
cdniiyuxcneg1.jpeg,9
g7cbyqqey1eg1.png,8
ztnmmog7hneg1.jpeg,8
e3yve9tnhneg1.jpeg,9
i1lonvv0oodg1.jpeg,7
v5vbsza0nneg1.jpeg,8
f0gw3bch1oeg1.png,10
aznb930iyleg1.jpeg,7
211d22jg8odg1.png,4
cwsh75gecmeg1.png,10
fmummgk1uneg1.jpeg,9
2po4rox5qmeg1.jpeg,5
tn2u4l65qmeg1.png,6
32k38no12keg1.jpeg,9
cvnm79ww5xdg1.jpeg,10
0q3n8wjqg9eg1.jpeg,9
7xz81z8imbeg1.jpeg,9
6p5nlao2ebeg1.jpeg,7
0diu2kkq2neg1.png,8
cwynz1v92heg1.jpeg,7
vvmqhqmpeheg1.jpeg,10
0w24v4ya33eg1.jpeg,9
pgo8q704tvdg1.png,8
jnp0l51eg4eg1.jpeg,10
q0xduoo15vdg1.jpeg,9
9dmx1evdxmeg1.jpeg,8
g8n1c9ye72eg1.png,10
